OrderID,OrderDate,Region,CustomerType,Category,Product,Quantity,UnitPrice,Discount,Returned
1001,05-01-2024,East,Corporate,Technology,Wireless Mouse,4,25.5,0,No
1002,06-01-2024,West,Consumer,Office Supplies,Mechanical Pencil Set,10,8,0.1,No
1003,07-01-2024,Central,Home Office,Furniture,Ergonomic Chair,1,250,0.05,No
1004,08-01-2024,South,Consumer,Technology,Bluetooth Speaker,2,45,0,Yes
1005,09-01-2024,East,Corporate,Office Supplies,Gel Pens 12-Pack,5,12,0,No
1006,10-01-2024,West,Consumer,Furniture,Standing Desk,1,450,0.15,No
1007,11-01-2024,Central,Corporate,Technology,USB-C Hub,3,35,0,No
1008,12-01-2024,South,Home Office,Office Supplies,Notebook Binder,8,5.5,0,No
1009,13-01-2024,East,Consumer,Technology,4K Monitor,1,320,0.1,No
1010,14-01-2024,West,Corporate,Furniture,Desk Lamp,2,28,0,No
1011,15-01-2024,Central,Consumer,Office Supplies,Stapler Heavy Duty,1,18.5,0,No
1012,16-01-2024,South,Home Office,Technology,Webcam 1080p,2,60,0.05,Yes
1013,17-01-2024,East,Consumer,Furniture,Bookshelf 4-Tier,1,110,0,No
1014,18-01-2024,West,Corporate,Office Supplies,Paper Ream A4,15,6.5,0.1,No
1015,19-01-2024,Central,Consumer,Technology,Noise-Cancel Headphones,1,199.99,0,No
1016,20-01-2024,South,Corporate,Furniture,Office Sofa,1,650,0.2,No
1017,21-01-2024,East,Home Office,Office Supplies,Sticky Notes Pack,12,3.2,0,No
1018,22-01-2024,West,Consumer,Technology,External SSD 1TB,2,110,0.05,No
1019,23-01-2024,Central,Corporate,Furniture,Filing Cabinet,1,180,0,No
1020,24-01-2024,South,Consumer,Office Supplies,Scissors Set,4,7.5,0,No
1021,25-01-2024,East,Corporate,Technology,Wireless Mouse,3,25.5,0,No
1022,26-01-2024,West,Home Office,Office Supplies,Gel Pens 12-Pack,6,12,0,No
1023,27-01-2024,Central,Consumer,Furniture,Ergonomic Chair,2,250,0.1,Yes
1024,28-01-2024,South,Corporate,Technology,Bluetooth Speaker,1,45,0,No
1025,29-01-2024,East,Consumer,Office Supplies,Mechanical Pencil Set,8,8,0,No
1026,30-01-2024,West,Home Office,Technology,4K Monitor,2,320,0.15,No
1027,31-01-2024,Central,Corporate,Furniture,Standing Desk,1,450,0.05,No
1028,01-02-2024,South,Consumer,Office Supplies,Notebook Binder,5,5.5,0,No
1029,02-02-2024,East,Home Office,Technology,USB-C Hub,4,35,0,No
